date,Apple,Apricot,Artichoke,Avocado,Banana,Beans,Beets,Blueberries,Broccoli,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherries,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Garlic,Grapefruit,Grapes,Greens,Guava,Jicama,Kale,Lemons,Lettuce,Lychee,Malanga,Mangos,Mushrooms,Okra,Onion,Oranges,Papayas,Passion Fruit,Peaches,Peas,Peppers,Pineapple,Pomegranate,Potatoes,Pumpkin,Quince,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tomato,Watermelon,Yams
2012-02-01,0,0,0,0,8,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,100,0,0,8,0,0,0,0,8,10,0,0,0,0,0,0
2012-03-01,10,0,0,0,4,6,0,0,16,0,0,0,8,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,15,0,0,0,0,0,17,6,0,0,0,0,9,0,0,4,0
2012-04-01,6,0,0,0,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,6,0,0,0,5,6,0,0,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,6,0,0,0,98,0,8,0,9,0,0,0,0,0,0,0,0,0,0
2012-06-01,5,0,0,76,4,0,70,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,87,0,0,0,16,0,18,0,0,9,0,15,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,10,0,0
2012-07-01,5,0,0,69,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,84,15,7,92,0,0,0,0,0,0,0,0,0,4,0
2012-08-01,0,0,0,67,7,5,0,0,0,0,0,5,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,7,0,23,0,0,0,0,0,0,0,0,3,0
2012-09-01,5,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,81,0,0,0,8,0,0,0,94,0,0,0,0,0,0,0,0,7,0,0,5,0,7,0,0,0,12,0,0,0
2012-10-01,0,76,0,0,10,0,0,83,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0
2012-11-01,5,0,0,0,7,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,83,0,7,0,8,0,0,0,0,5,0,11,0,4,100
2012-12-01,12,0,0,0,4,0,69,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,100,0,0,0,0,0,5,0,12,9,0,0
2013-01-01,9,0,0,0,5,5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,0,64,7,0,0,0,0,0,86,0,0,100,0,0,96,0,0,0,0,0,0,0,0,0,14,0,15,0,0,0,0,0,11,0,0,0,0,0,13,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,0
2013-03-01,4,0,0,61,4,5,0,0,0,0,0,0,0,94,0,0,91,0,0,11,0,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,8,3,0
2013-04-01,4,0,0,57,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,67,0,0,0,0,0,0,6,4,0,12,0,0,0,0,0,3,0
2013-05-01,8,0,62,56,12,4,0,0,0,0,75,0,0,0,0,0,0,10,0,0,0,3,0,0,12,0,0,64,0,51,0,0,65,0,0,0,0,0,0,65,0,0,0,0,0,0,6,4,0,0,0,4,0,0,0,0,0
2013-06-01,0,0,0,58,11,5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,67,11,0,0,0,66,0,0,0,7,0,0,10,0,0,0,0,0,0,0,70,0,0,0,0,4,0,0,0,4,0,0,0,3,0
2013-07-01,4,0,0,0,16,4,0,68,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,26,100,0,6,63,0,0,72,0,0,0,0,11,0,66,0,0,0,6,4,0,5,0,0,7,0,0,6,0
2013-08-01,4,0,0,0,15,4,0,0,0,0,0,4,0,0,100,56,0,10,0,0,0,3,61,0,0,0,0,0,13,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,11,0,0,0,0,0,3,0
2013-09-01,4,0,0,0,8,0,0,0,0,0,0,4,0,82,0,0,0,10,0,10,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,4,0,0,7,3,0
