date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Bean Sprouts,Beans,Beets,Bitter Melon,Blackberries,Blueberries,Bok Choy,Broccoli,Brussels Sprouts,Cabbage,Cantaloupe,Carrots,Cauliflower,Celery,Cherries,Coconuts,Collard Greens,Corn,Cranberries,Cucumber,Dates,Eggplant,Endive,Feijoa,Fennel,Figs,Garlic,Grapefruit,Grapes,Green Beans,Greens,Guava,Jicama,Kale,Kiwifruit,Kohlrabi,Kumquat,Leeks,Lemons,Lettuce,Limes,Longan,Loquat,Lychee,Mangos,Mushrooms,Napa,Okra,Onion,Parsnip,Passion Fruit,Pears,Peas,Peppers,Persimmons,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prunes,Raisins,Raspberries,Rhubarb,Romaine Lettuce,Shallots,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tangerines,Tomatillo,Tomato,Turnip,Watercress,Watermelon,Yams,Cassava
2009-01-01,43,0,0,0,18,29,0,0,0,0,0,86,0,33,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,48,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,79,0,28,0,0,0,68,0,50,0,0,0,0,0,31,45,0,0,0,0,26,30,0,15,0,0
2009-02-01,22,0,0,0,0,31,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,32,0,0,30,0,0,0,0,0,0,0,0,92,0,0,0,0,0,22,0,46,0,0,0,0,28,0,0,15,0,0
2009-03-01,29,0,0,0,17,47,45,40,0,0,0,0,0,30,0,0,0,25,0,0,0,0,0,0,0,25,0,29,0,0,0,0,20,0,31,0,0,0,100,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,29,72,0,0,0,0,0,0,0,0,0,0,0,0,19,28,41,0,28,0,0,24,0,47,13,0,0
2009-04-01,20,0,0,0,0,54,0,27,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,26,0,0,0,0,81,0,20,0,31,0,0,25,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,46,27,0,0,0,20,0,41,0,0,0,0,36,0,0,0,0,0
2009-05-01,39,0,24,33,17,41,0,20,0,0,0,0,0,29,0,0,0,25,0,0,0,0,0,0,0,100,0,29,0,100,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,29,0,70,0,0,0,0,0,0,28,0,19,26,49,0,0,25,0,0,0,31,0,0,0,0,0,0,19,28,41,0,28,0,0,48,53,0,13,47,0
2009-06-01,48,0,0,0,16,47,0,26,0,0,0,0,0,29,0,25,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,19,0,0,32,0,0,0,0,0,0,32,100,0,57,0,0,0,0,0,0,0,0,27,0,0,0,29,0,0,25,0,0,0,0,0,0,0,0,0,0,19,28,41,0,56,0,0,47,0,0,20,47,0
2009-07-01,29,79,0,33,0,30,0,30,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,38,0,25,0,0,0,0,80,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,31,0,0,0,0,0,0,20,0,0,0,0,0,0,24,27,0,27,0,0
2009-08-01,63,0,0,0,18,38,0,32,0,80,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,87,0,30,0,0,30,0,0,26,0,0,36,0,0
2009-09-01,70,0,0,0,17,64,0,21,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,32,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,27,0,0,0,0,0,42,0,29,0,0,25,0,0,14,0,0
2009-10-01,72,0,0,35,18,46,0,21,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,84,0,0,0,20,0,0,0,90,0,0,0,0,0,0,0,0,30,0,0,73,20,100,49,0,0,0,0,0,0,0,0,0,27,0,34,0,32,0,0,0,0,0,0,21,0,43,0,29,0,0,26,0,0,0,49,0
