date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Blackberries,Blueberries,Boniato,Broccoli,Cabbage,Cantaloupe,Carambola,Carrots,Cauliflower,Celery,Chayote,Cherries,Coconuts,Corn,Cranberries,Cucumber,Dates,Eggplant,Feijoa,Fennel,Figs,Garlic,Grapefruit,Grapes,Greens,Guava,Jicama,Kale,Kumquat,Leeks,Lemons,Lettuce,Limes,Longan,Lychee,Malanga,Mangos,Mushrooms,Napa,Nectarines,Okra,Onion,Oranges,Papayas,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Plantains,Plums,Pomegranate,Potatoes,Prunes,Pumpkin,Quince,Radicchio,Raisins,Raspberries,Rhubarb,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tangelo,Tangerines,Tomatillo,Tomato,Turnip,Watermelon,Yams,Yellow Squash,Cassava
2009-06-01,13,27,23,0,0,38,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,100,0,23,0,0,0,0,0,19,0,0,0,0,15,0,0,0,0,0,0,0,27,0,0,0,24,16,0,80,0,0,0,0,0,0,40,0,0,0,16,0,0,0,23,0,0,13,0,30,0,0,0
2009-07-01,13,0,0,0,0,29,13,0,0,0,0,0,0,0,12,0,0,9,0,0,0,0,0,0,0,61,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,31,0,0,0,100,0,0,0,27,0,0,0,0,16,0,0,88,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,21,0,0,0,21,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,29,0,25,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
2009-10-01,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,16,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,33,0,0,16,0,82,0,0,0,0,0,0,0,0,0,0
2009-11-01,15,0,25,0,0,19,0,0,0,0,0,48,0,0,0,100,0,0,0,0,0,0,21,0,0,67,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,44,0,0,0,0,0,32,0,0,0
2009-12-01,17,0,0,0,0,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,20,0,0,0,17,0,0,0,0,51,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
2010-01-01,15,0,0,0,0,30,0,0,0,0,0,0,0,0,13,0,0,22,0,0,0,0,22,0,0,0,0,0,0,0,90,57,0,26,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,100,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,33,28,0,0,27,16,0,0,0,0,0,0,0,28,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,19,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,14,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,10,0,20,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,16,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,14,0,0,42,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
2010-04-01,0,0,0,0,0,31,0,0,0,0,0,48,0,0,0,0,75,0,0,0,0,0,0,0,0,66,21,0,0,14,0,0,0,24,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,27,26,17,0,0,0,14,0,14,0,0,0,0,0,36,0,18,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,14,0,0,0,0,9,14,0,0,0,0,0,0,0,12,95,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,19,0,0,0,0,0,0,17,0,0,0,14,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,25,0,33,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,21,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,10,0,20,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,100,0,0,0,20,0,0,0,0,16,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,34,17,0,0,0,0,0,0,14,0,0,0,0,0
2010-08-01,0,0,0,0,0,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,14,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
2010-09-01,20,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,20,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,13,0,30,0,0,0
2010-10-01,26,0,0,0,29,25,13,0,0,0,0,0,0,0,0,89,0,0,0,0,0,22,0,17,0,0,0,0,13,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,13,0,0,0,0,0,0,0,32,0,17,0,0,0,0,0,0,0,0,0,0,0
