date,Apple,Apricot,Artichoke,Asparagus,Avocado,Banana,Beans,Beets,Blackberries,Blueberries,Broccoli,Cabbage,Cantaloupe,Carrots,Cauliflower,Celery,Cherries,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Figs,Garlic,Grapefruit,Grapes,Greens,Guava,Kale,Kohlrabi,Kumquat,Lemons,Lettuce,Limes,Lychee,Mangos,Mushrooms,Napa,Okra,Onion,Oranges,Parsnip,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Plums,Pomegranate,Potatoes,Pumpkin,Quince,Raisins,Raspberries,Rhubarb,Romaine Lettuce,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tangerines,Tomato,Turnip,Watermelon,Yams,Cassava
2009-12-01,12,0,13,0,0,11,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,57,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
2010-01-01,11,0,0,0,23,20,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,12,0,0,15,37,0,0,0,0,0,52,0,0,0
2010-02-01,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,44,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,16,0,0,13,0,0,0,0,0,0,0
2010-03-01,11,0,0,0,0,42,0,32,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,33,0,0,0,0,0,0,0,0,22,0,0,54,66,0,11,0,0,0,34,19,0,0,7,25,0,0,0,0,0,0,0,0,0,65,0,0,0,79,0,0
2010-04-01,58,0,0,0,0,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,31,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,8,0,0,29,0,0,0,0,0,0,0,0,0,0,0,57,0,0
2010-05-01,24,0,0,0,0,14,21,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,8,27,0,0,13,0,0,0,0,37,0,0,0,25,0,29,0,0
2010-06-01,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,33,0,0,13,0,0,0,0,0,68,0,18,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
2010-07-01,14,0,0,0,0,61,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,29,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,34,0,0,0,0,0,0,14,0,0,0,0,100,0,0
2010-08-01,13,0,0,0,0,19,0,37,0,0,0,0,0,0,0,0,0,0,13,0,0,27,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,23,0,0,0,30,0,63,0,0,0,0,0,0,0,0,0,0,59,31,0,0
2010-09-01,18,0,0,0,0,21,22,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,21,0,0,0,28,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,11,0,0,0,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,20,60,0,8,26,0,0,0,0,0,29,0,0,0,0,0,23,0,27,0,0
2010-11-01,22,0,0,0,22,13,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,39,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,29,0,0,0,0,0,25,49,0,0,0,0,0,0,0,0,0,0,0,51,26,0,0
2010-12-01,11,0,0,65,0,13,0,32,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,49,0,0,0,29,0,19,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,11,0,0,0,28,0,0,11,0,24,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,23,0,0,0,0,0,0,9,0,0,0,0,0,0,0
2011-02-01,9,0,0,0,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,11,0,0,0,0,0,19,0,0,24,0,0,0,0,0,25,0,17,0,44,6,0,0,0,0,0,0,0,0,0,0,0,0,30,0,46,0,0
2011-03-01,9,9,0,52,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,31,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,0,23,0,15,0,0,6,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
