date,Apple,Apricot,Asparagus,Avocado,Banana,Beans,Beets,Bitter Melon,Broccoli,Cabbage,Carrots,Cauliflower,Celery,Corn,Cranberries,Cucumber,Dates,Eggplant,Fennel,Figs,Garlic,Grapefruit,Grapes,Greens,Guava,Kale,Lemons,Lettuce,Mushrooms,Napa,Okra,Onion,Oranges,Passion Fruit,Peaches,Pears,Peas,Peppers,Pineapple,Pomegranate,Potatoes,Prunes,Pumpkin,Raisins,Spinach,Sprouts,Squash,Strawberries,Sweet Potato,Tangerines,Tomato,Watermelon,Yams,Cassava
2012-03-01,9,0,0,10,2,0,0,0,0,10,0,0,0,0,0,0,100,0,0,0,0,0,0,12,55,0,0,28,0,0,0,7,0,12,0,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,5,0,0,0
2012-04-01,0,0,0,5,10,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,8,0,0,0,57,0,0,28,6,0,0,0,0,9,0,0,0,0,12,0,5,0,0,0,0,0,24,0,0,0,5,0,0,0
2012-05-01,7,20,0,0,5,12,0,0,0,14,23,0,21,0,0,0,0,20,0,0,0,0,0,0,0,13,0,0,6,0,0,7,0,8,0,0,0,0,0,0,5,0,8,0,11,0,0,0,5,0,5,11,0,0
2012-06-01,9,19,0,5,3,24,0,0,0,0,12,0,0,0,0,0,0,20,0,0,0,0,14,0,0,0,18,0,0,0,0,7,8,0,0,0,0,0,6,0,0,0,0,0,0,0,23,0,0,0,5,0,0,0
2012-07-01,0,0,0,0,3,0,19,0,0,0,0,0,0,0,0,20,0,36,0,0,0,0,25,11,0,0,0,0,5,0,0,6,11,0,56,0,0,0,5,0,0,100,7,0,0,0,0,0,0,0,9,0,0,0
2012-08-01,4,0,0,4,2,10,0,0,0,0,10,0,0,0,0,0,0,16,0,0,6,10,0,0,44,0,0,0,10,0,0,0,6,7,0,0,13,0,5,0,4,0,0,0,0,0,0,0,4,0,0,13,0,100
2012-09-01,7,0,0,4,5,0,0,5,0,0,0,0,0,0,0,0,0,16,0,0,6,0,0,0,43,0,15,0,7,0,0,11,0,7,0,0,12,0,5,46,4,0,0,0,0,0,0,0,4,0,0,0,0,0
2012-10-01,10,0,0,4,4,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,4,0,100,0,0,7,0,4,0,0,0,8,0,0,0,0,0,7,8,0,0
2012-11-01,3,0,0,0,6,9,16,0,5,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,40,0,0,0,0,0,0,5,0,7,0,0,0,0,4,0,0,0,0,9,0,0,17,5,0,0,8,16,0,0
2012-12-01,0,0,0,4,2,10,18,0,0,8,10,0,17,22,0,0,0,0,0,0,0,0,0,0,0,11,0,23,0,0,0,6,7,5,0,0,0,0,7,0,4,0,0,0,0,0,19,0,0,0,11,9,0,0
2013-01-01,6,0,0,0,5,4,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,0,0,0,9,6,4,0,0,0,0,4,0,0,77,8,0,0,0,16,0,3,100,0,8,0,0
2013-02-01,7,0,0,4,3,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,5,0,10,0,0,9,0,0,0,0,0,0,0,6,0,0,11,0,6,0,4,0,0,9,0,0,0,0,0,0,4,8,0,0
